target,action,reward
0,(0.13; 0),[0.13078058 1.1721909 ],-0.445215293701603
0,(0.13; 0),[0.22      1.5010942],-0.6821068522551663
0,(0.13; 0),[0.16824737 0.93991625],-0.6434931283690459
0,(0; -0.13),[0.08631474 2.1481316 ],-0.11798084194019114
0,(0; 0.13),[0.01895308 3.321718  ],-0.2609593102267506
0,(0; 0.13),[0.05002614 3.9386864 ],-0.22245014222258985
0,(0.13; 0),[0.01058058 1.6788486 ],-0.26209809709282966
0,(0; 0.13),[0.00936422 1.9667555 ],-0.26416700810773297
0,(0; 0.13),[0.04684687 1.0935596 ],-0.3051482458669895
0,(0.13; 0),[0.00656242 1.7482191 ],-0.26219520692662074
0,(0; 0.13),[0.10079627 2.43411   ],-0.41086474401915346
0,(0.13; 0),[0.05131285 6.0041    ],-0.31738813683480005
0,(0.13; 0),[0.22      2.1541812],-0.25011321421167637
0,(0; 0.13),[0.14082873 1.5295035 ],-0.6283892138775652
0,(0.13; 0),[0.18244381 2.7356822 ],0.5757904882691444
0,(0.13; 0),[0.21425578 5.512448  ],-0.8911113999833239
0,(0; 0.13),[0.1658005 2.2450478],-0.6860457643164768
0,(0; -0.13),[0.09387889 6.0412908 ],-0.32470015386992584
0,(0; 0.13),[0.07805274 0.        ],-0.2715079495542075
0,(0; -0.13),[0.01981928 2.7542155 ],-0.25908300147819674
0,(0; -0.13),[0.19048592 3.9455636 ],-0.7807329844144857
0,(0; 0.13),[0.20684977 1.2677486 ],-0.9207810838122106
0,(0; 0.13),[0.19089952 3.7521198 ],-0.10405669347619417
0,(0; -0.13),[0.21382608 1.9203016 ],0.782737924034462
0,(0.13; 0),[0.21300709 4.9148507 ],-0.7064214462015103
0,(0; -0.13),[0.08519426 5.60593   ],-0.3654816570513438
0,(0; -0.13),[0.07478099 1.4519924 ],-0.13032037619286616
0,(0; -0.13),[0.05520505 5.474913  ],-0.31133564246031586
0,(0; -0.13),[0.10322278 3.385813  ],-0.3414440811683253
0,(0; 0.13),[0.11127018 3.1827683 ],-0.2884204765175614
0,(0; -0.13),[0.20627218 1.851706  ],1.0196058693194503
0,(0.13; 0),[0.18142328 2.2785256 ],0.006230659382800899
0,(0.13; 0),[0.18632466 0.9259119 ],-0.7264774060538899
0,(0; -0.13),[0.09283579 1.083239  ],-0.08213204256379528
0,(0; -0.13),[0.04797291 4.885083  ],-0.3117189133710257
0,(0; -0.13),[0.04173087 2.9620774 ],-0.25614600108523927
0,(0; 0.13),[0.15248935 5.944307  ],-0.22290807204350543
0,(0; -0.13),[0.04212781 5.214612  ],-0.2966340929839771
0,(0; -0.13),[0.0644151 3.8126566],-0.3206464725127729
0,(0.13; 0),[0.06258348 0.97802323],-0.3123837762869733
0,(0; 0.13),[0.18680248 5.120502  ],0.6033274764612164
0,(0; 0.13),[0.21564718 3.7123032 ],-0.23930248744886878
0,(0.13; 0),[0.11507639 6.2831855 ],-0.5211049878608103
0,(0; -0.13),[0.07878169 3.4851308 ],-0.31561844018817364
0,(0; 0.13),[0.02667047 1.9291053 ],-0.2771243674094441
0,(0.13; 0),[0.01785701 5.815596  ],-0.2686965954580087
0,(0; 0.13),[0.19348238 3.6992786 ],-0.15902720572296983
0,(0; -0.13),[0.19103557 3.5946434 ],-0.6947960158318487
0,(0; 0.13),[0.17973469 3.0222993 ],-0.5248425633945841
0,(0.13; 0),[0.11598649 5.540307  ],-0.47561483703771784
0,(0; -0.13),[0.09083416 0.58505976],-0.16958373355817338
0,(0; 0.13),[0.01681596 0.2940721 ],-0.26420845093667644
0,(0; -0.13),[0.19400436 3.4658124 ],-0.6654116580788834
0,(0; -0.13),[0.10188885 5.730363  ],-0.3922761912845931
0,(0.13; 0),[0.05668687 5.280647  ],-0.3018900173388915
0,(0; 0.13),[0.15682685 5.4890575 ],0.06610686064482216
0,(0.13; 0),[0.10208216 6.223908  ],-0.47103786555014515
0,(0; -0.13),[0.02961314 0.        ],-0.2625554259878857
0,(0; 0.13),[0.03912027 5.1850095 ],-0.23163590429857164
0,(0.13; 0),[0.21825838 0.        ],-0.9861654744490903
0,(0.13; 0),[0.08289201 3.4860253 ],-0.10844615729865395
0,(0; -0.13),[0.09681295 1.979738  ],-0.054714534471257854
0,(0; -0.13),[0.20436452 5.637868  ],-0.8096070727708222
0,(0; -0.13),[0.18766947 1.6897057 ],1.1686123560596218
0,(0; -0.13),[0.12658711 6.2831855 ],-0.3224468361785529
